City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Mataura,NZ,-46.1927,168.8643,50.05,72,97,2.68,overcast clouds
79,Cabo San Lucas,MX,22.8909,-109.9124,81.61,47,0,1.99,clear sky
80,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,29,40,11.5,scattered clouds
81,Canete,CL,-37.8,-73.4,74.1,45,1,6.46,clear sky
82,Kenai,US,60.5544,-151.2583,15.15,84,0,4.61,clear sky
83,Luderitz,NA,-26.6481,15.1594,60.66,90,11,3.6,few clouds
84,Kahului,US,20.8947,-156.47,77.97,86,40,11.01,scattered clouds
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,92,100,17.92,overcast clouds
86,Cabedelo,BR,-6.9811,-34.8339,84.87,73,18,11.41,few clouds
87,Challapata,BO,-18.9,-66.7667,63.91,15,75,12.73,broken clouds
88,Chokurdakh,RU,70.6333,147.9167,-40.61,100,91,1.32,overcast clouds
89,Bethel,US,41.3712,-73.414,51.69,83,100,3.44,moderate rain
90,Najran,SA,17.4924,44.1277,63.25,46,52,2.01,broken clouds
91,Oria,ES,43.2554,-2.0187,57.22,63,100,1.01,overcast clouds
92,Barrow,US,71.2906,-156.7887,3.22,78,100,11.5,light snow
93,Yellowknife,CA,62.456,-114.3525,10.92,85,40,11.5,scattered clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,73.36,86,52,7.0,broken clouds
95,New Norfolk,AU,-42.7826,147.0587,47.88,74,73,6.44,broken clouds
96,Raub,MY,3.7899,101.857,75.7,98,64,0.69,broken clouds
97,Ahipara,NZ,-35.1667,173.1667,60.93,65,100,10.04,overcast clouds
98,Ostrovnoy,RU,68.0531,39.5131,25.97,84,89,23.69,overcast clouds
99,Severo-Kurilsk,RU,50.6789,156.125,32.18,84,86,29.75,light snow
100,Aklavik,CA,68.2191,-135.0107,-13.0,77,75,4.61,broken clouds
101,Mujiayingzi,CN,42.1167,118.7833,23.68,57,80,4.54,broken clouds
102,Avera,US,33.194,-82.5271,74.71,53,40,17.27,scattered clouds
103,Waddan,LY,29.1614,16.139,58.44,62,100,23.6,overcast clouds
104,Puerto Carreno,CO,6.189,-67.4859,87.78,66,40,6.91,thunderstorm
105,Kodiak,US,57.79,-152.4072,26.11,63,0,3.44,clear sky
106,Schwanewede,DE,53.2333,8.6,43.03,95,100,1.01,light rain
107,Poltavka,RU,54.3663,71.7632,-8.81,92,5,6.42,clear sky
108,Vaini,TO,-21.2,-175.2,80.76,89,75,4.61,broken clouds
109,Narsaq,GL,60.9167,-46.05,30.42,92,100,7.58,overcast clouds
110,Evensk,RU,61.95,159.2333,19.38,92,100,23.11,snow
111,Sapulpa,US,35.9987,-96.1142,51.69,71,100,8.05,overcast clouds
112,Bandarbeyla,SO,9.4942,50.8122,78.55,76,35,18.05,scattered clouds
113,Aksarka,RU,66.5606,67.7975,-0.45,95,42,4.25,scattered clouds
114,Pemangkat,ID,1.1667,108.9667,78.12,83,100,2.68,overcast clouds
115,Lagoa,PT,39.05,-27.9833,63.25,81,100,27.94,overcast clouds
116,Agadez,NE,19.75,10.25,69.67,27,100,7.94,overcast clouds
117,Touros,BR,-5.1989,-35.4608,80.02,72,99,12.17,overcast clouds
118,Cape Town,ZA,-33.9258,18.4232,70.38,60,0,15.01,clear sky
119,Tangzhai,CN,34.4328,116.5911,53.4,87,100,11.41,overcast clouds
120,Bredasdorp,ZA,-34.5322,20.0403,63.27,80,0,13.27,clear sky
121,Nigde,TR,37.8333,34.75,37.38,69,100,3.6,overcast clouds
122,Broome,US,42.2506,-75.833,45.46,79,100,12.66,overcast clouds
123,Busselton,AU,-33.65,115.3333,50.79,84,0,11.43,clear sky
124,Saskylakh,RU,71.9167,114.0833,-14.91,100,98,4.85,overcast clouds
125,Husavik,IS,66.0449,-17.3389,35.33,97,100,22.5,light snow
126,Lashio,MM,22.9333,97.75,59.54,98,11,1.07,few clouds
127,Mahebourg,MU,-20.4081,57.7,73.69,78,20,3.44,few clouds
128,Tasiilaq,GL,65.6145,-37.6368,24.96,61,11,7.27,few clouds
129,Ambilobe,MG,-13.2,49.05,74.05,78,92,2.37,overcast clouds
130,Ginir,ET,7.1333,40.7,57.65,66,100,5.39,overcast clouds
131,Luganville,VU,-15.5333,167.1667,81.21,78,17,6.62,light rain
132,Vao,NC,-22.6667,167.4833,75.36,77,100,15.77,overcast clouds
133,Young,UY,-32.6833,-57.6333,96.64,20,1,14.29,clear sky
134,Lasa,IT,46.6166,10.7002,38.35,60,100,1.39,overcast clouds
135,Leningradskiy,RU,69.3833,178.4167,-13.29,89,31,5.79,scattered clouds
136,Margate,GB,51.3813,1.3862,53.31,97,100,3.0,light rain
137,Vavuniya,LK,8.7514,80.4971,71.29,92,87,2.8,overcast clouds
138,San Policarpo,PH,12.1791,125.5072,80.38,85,100,12.37,overcast clouds
139,Ponta Do Sol,PT,32.6667,-17.1,71.01,77,0,5.44,clear sky
140,Shahrud,IR,36.4182,54.9763,46.67,70,12,10.07,few clouds
141,Constitucion,CL,-35.3333,-72.4167,65.14,76,14,7.52,few clouds
142,Chuy,UY,-33.6971,-53.4616,75.51,69,7,12.37,clear sky
143,Provideniya,RU,64.3833,-173.3,15.31,95,100,5.37,overcast clouds
144,Kushmurun,KZ,52.4503,64.6311,4.35,75,100,8.79,overcast clouds
145,Burnie,AU,-41.0667,145.9167,46.94,84,97,8.9,overcast clouds
146,Charters Towers,AU,-20.1,146.2667,71.87,91,100,7.47,overcast clouds
147,Belmonte,BR,-15.8631,-38.8828,76.8,90,100,14.79,light rain
148,Codrington,AU,-38.2667,141.9667,47.28,85,100,8.68,overcast clouds
149,Caravelas,BR,-17.7125,-39.2481,75.81,93,100,9.73,overcast clouds
150,Etah,IN,27.6333,78.6667,63.37,33,0,2.26,clear sky
151,Maraa,BR,-1.8333,-65.3667,81.5,88,100,2.08,overcast clouds
152,Hithadhoo,MV,-0.6,73.0833,80.69,74,100,4.05,overcast clouds
153,Sao Filipe,CV,14.8961,-24.4956,78.21,63,0,12.91,clear sky
154,Lahij,YE,13.1667,44.5833,71.73,69,39,3.51,scattered clouds
155,Ilulissat,GL,69.2167,-51.1,17.62,73,75,0.0,broken clouds
156,Carnarvon,AU,-24.8667,113.6333,70.18,74,0,18.16,clear sky
157,Hofn,IS,64.2539,-15.2082,41.0,77,100,6.71,overcast clouds
158,Souillac,MU,-20.5167,57.5167,73.78,78,20,3.44,few clouds
159,Konstantinovka,RU,49.6167,127.9833,-6.93,100,90,1.3,overcast clouds
160,Townsville,AU,-19.25,146.8,72.48,94,75,4.61,broken clouds
161,Henties Bay,NA,-22.116,14.2845,59.85,79,81,6.4,broken clouds
162,Half Moon Bay,US,37.4636,-122.4286,68.11,59,100,1.92,overcast clouds
163,Fort Nelson,CA,58.8053,-122.7002,14.95,83,100,9.22,light snow
164,Vestmannaeyjar,IS,63.4427,-20.2734,38.88,78,96,26.49,overcast clouds
165,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,82,75,19.08,broken clouds
166,Prince Rupert,CA,54.3161,-130.3201,37.09,86,0,5.75,clear sky
167,Flinders,AU,-34.5833,150.8552,64.18,87,94,4.0,overcast clouds
168,Grafton,US,42.207,-71.6856,53.19,56,100,1.01,light rain
169,Salalah,OM,17.0151,54.0924,75.29,83,0,4.61,clear sky
170,Nanortalik,GL,60.1432,-45.2371,29.71,82,100,6.85,overcast clouds
171,Kardla,EE,58.9978,22.7492,27.05,87,100,7.83,overcast clouds
172,Iqaluit,CA,63.7506,-68.5145,11.93,66,100,16.11,overcast clouds
173,Altoona,US,40.5187,-78.3947,51.33,92,100,4.32,overcast clouds
174,Portland,US,45.5234,-122.6762,46.81,95,100,5.01,overcast clouds
175,Praia,CV,14.9215,-23.5087,77.54,69,0,20.71,clear sky
176,Hay River,CA,60.8156,-115.7999,8.58,78,75,21.85,light snow
177,Teknaf,BD,20.8624,92.3058,73.04,75,78,4.27,broken clouds
178,Bridgeton,US,39.4273,-75.2341,56.03,98,100,5.75,moderate rain
179,Mitsamiouli,KM,-11.3847,43.2844,78.1,77,3,9.28,clear sky
180,Severo-Yeniseyskiy,RU,60.3725,93.0408,-19.34,98,100,4.03,overcast clouds
181,Karasburg,NA,-28.0167,18.75,78.57,14,0,8.59,clear sky
182,Grand Island,US,40.925,-98.342,42.21,52,0,12.66,clear sky
183,Dhidhdhoo,MV,6.8833,73.1,80.51,73,75,6.85,broken clouds
184,Mount Isa,AU,-20.7333,139.5,74.97,88,100,4.61,overcast clouds
185,Bogorodskoye,RU,56.55,37.8833,16.86,94,100,8.7,overcast clouds
186,Serowe,BW,-22.3833,26.7167,68.88,77,56,10.22,light rain
187,Ayr,GB,55.4627,-4.6339,47.5,87,0,11.5,clear sky
188,Torbay,CA,47.6666,-52.7314,41.58,96,100,16.11,light rain
189,Rochester,US,43.1548,-77.6156,44.37,92,100,10.36,moderate rain
190,Owase,JP,34.0667,136.2,56.41,47,100,4.97,overcast clouds
191,Wanning,CN,18.8003,110.3967,77.58,93,29,8.23,scattered clouds
192,Paulo Ramos,BR,-4.2167,-45.1833,86.49,59,98,1.5,overcast clouds
193,Gat,IL,31.61,34.7642,65.39,59,100,1.81,overcast clouds
194,Soyo,AO,-6.1349,12.3689,76.17,85,100,2.91,overcast clouds
195,La Ronge,CA,55.1001,-105.2842,25.05,74,75,10.36,broken clouds
196,Dunedin,NZ,-45.8742,170.5036,51.8,79,15,1.19,few clouds
197,Solnechnyy,RU,50.7214,136.6319,8.51,94,100,1.7,overcast clouds
198,Rio Gallegos,AR,-51.6226,-69.2181,64.45,32,0,21.85,clear sky
199,Lompoc,US,34.6391,-120.4579,72.84,43,0,5.75,clear sky
200,Pilar,BR,-9.5972,-35.9567,84.13,73,43,12.77,scattered clouds
201,Macapa,BR,0.0389,-51.0664,93.18,46,75,10.36,broken clouds
202,Olafsvik,IS,64.8945,-23.7142,37.09,75,43,12.46,scattered clouds
203,Jiujiang,CN,29.7333,115.9833,65.23,93,75,5.82,broken clouds
204,Victoria,HK,22.2855,114.1577,77.95,93,61,8.01,broken clouds
205,Asfi,MA,32.2994,-9.2372,64.67,85,0,12.66,clear sky
206,Baykit,RU,61.67,96.37,-12.86,97,100,3.69,overcast clouds
207,Talea,RO,45.2167,25.55,37.02,82,100,1.54,overcast clouds
208,Minab,IR,27.1467,57.0801,68.32,77,10,0.0,clear sky
209,Biak,ID,-0.9131,122.8766,76.01,83,85,3.22,overcast clouds
210,Pachino,IT,36.7186,15.0907,57.97,80,58,35.25,broken clouds
211,Nabire,ID,-3.3667,135.4833,75.06,91,100,3.76,overcast clouds
212,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,20,3.44,few clouds
213,Bataipora,BR,-22.2953,-53.2711,82.8,46,94,9.55,overcast clouds
214,Tatsuno,JP,34.8667,134.55,52.09,80,100,3.02,overcast clouds
215,Geraldton,AU,-28.7667,114.6,57.61,82,0,9.22,clear sky
