City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
291,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Hotel Prainha
293,Sambava,MG,73.45,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
294,Jardim,BR,89.82,few clouds,-21.4803,-56.1381,Hotel Uchôa
299,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada tia Fabíola
302,Puerto Madryn,AR,71.73,overcast clouds,-42.7692,-65.0385,Hotel Gran Palace
306,Saquarema,BR,77.14,overcast clouds,-22.92,-42.5103,Pousada Garota de Itaúna
310,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Horisun
313,Saint-Pierre,RE,73.9,clear sky,-21.3393,55.4781,Tropic Hotel
315,Kousseri,CM,75.16,overcast clouds,12.0769,15.0306,Hôtel le CONFORT FREDI
322,Makakilo City,US,77.45,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
325,Bali,ID,77.97,moderate rain,-8.5,115.0,Balian Riverside Sanctuary
337,Cairns,AU,79.07,scattered clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
339,Atambua,ID,74.21,overcast clouds,-9.1061,124.8925,Hotel Matahari
342,Le Moule,GP,84.24,few clouds,16.3332,-61.3473,Domaine de Lauréal
343,Gramado,BR,73.87,broken clouds,-29.3786,-50.8739,Laghetto
344,Camana,PE,70.57,broken clouds,-16.6228,-72.7111,Caja Arequipa
355,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,ユインチホテル南城
356,Meulaboh,ID,76.19,overcast clouds,4.1363,96.1285,Hotel Meuligou
360,Port Blair,IN,79.32,broken clouds,11.6667,92.75,Andaman Ocean Breeze
363,Miandrivazo,MG,80.87,clear sky,-19.5167,45.4667,Baobab
368,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
369,Dabakala,CI,80.94,overcast clouds,8.3667,-4.4333,Hôtel Résidence les villages
374,Hervey Bay,AU,76.12,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
386,Isangel,VU,79.65,few clouds,-19.55,169.2667,Tanna Lodge
389,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Central Hôtel
393,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
396,Tutoia,BR,81.41,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
399,Riyadh,SA,71.74,clear sky,24.6877,46.7219,White Palace Hotel
401,Podor,MR,85.95,clear sky,16.6527,-14.9587,La Cour du Fleuve
402,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Mersing Inn Hotel
406,Banda Aceh,ID,78.87,moderate rain,5.5577,95.3222,Hotel 61
408,Karratha,AU,79.25,few clouds,-20.7377,116.8463,Karratha International Hotel
409,Luba,GQ,79.97,overcast clouds,3.4568,8.5547,Hotel Jones
412,San Carlos De Bariloche,AR,87.55,few clouds,-41.1456,-71.3082,Kronos
417,Tabou,CI,78.4,few clouds,4.423,-7.3528,hôtel le rochet
418,Bairiki,KI,80.6,light rain,1.3292,172.9752,Marry's Motel
442,Guerrero Negro,MX,71.06,clear sky,27.9769,-114.0611,Plaza sal paraiso
445,Axim,GH,79.48,few clouds,4.8699,-2.2405,Axim Beach Hotel
450,Long Beach,US,75.85,scattered clouds,33.767,-118.1892,Westin
451,Waw,SS,80.26,overcast clouds,7.7029,27.9953,Bahr Gazhal Hotel
457,Morondava,MG,80.13,scattered clouds,-20.2833,44.2833,Hotel Sharon Menabe
458,La Palma,US,76.91,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
467,Ilebo,CD,70.59,overcast clouds,-4.3167,20.5833,Hôtel des Palmes
468,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Port Wine Guest House
469,Ambon,ID,76.23,scattered clouds,-3.6954,128.1814,Hotel Hero
472,San Pedro,PH,78.35,few clouds,14.35,121.0167,Hotel Takara
476,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Terra Sur
486,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Billy's Place
497,Bandiagara,ML,78.31,overcast clouds,14.3501,-3.6104,Hôtel Auberge Kansaye
501,Bull Savanna,JM,82.94,clear sky,17.8868,-77.5902,Junction Guest House
502,Viedma,AR,84.49,broken clouds,-40.8135,-62.9967,Níjar
510,Rawson,AR,70.79,overcast clouds,-43.3002,-65.1023,Hotel Deportivo
514,Namatanai,PG,79.88,scattered clouds,-3.6667,152.4333,Namatanai Hotel
515,Edeia,BR,89.98,broken clouds,-17.3383,-49.9314,Hotel Roma
519,Araceli,PH,83.35,few clouds,10.5529,119.9913,ARPA Lodge
522,Banjarmasin,ID,77.14,scattered clouds,-3.3244,114.591,Hotel Grand Mentari
525,Fomboni,KM,79.32,clear sky,-12.28,43.7425,Mohéli La Plage
527,Eyl,SO,78.48,scattered clouds,7.9803,49.8164,فندق ايل دابي
528,Vanimo,PG,77.0,overcast clouds,-2.6741,141.3028,CBC Guesthouse
531,Benguela,AO,78.15,light rain,-12.5763,13.4055,Hotel Moibela
543,Puerto Leguizamo,CO,77.72,heavy intensity rain,-0.1934,-74.7819,Hotel Girasoles
548,Waingapu,ID,79.84,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
555,Navirai,BR,81.43,overcast clouds,-23.065,-54.1906,Hotel 2 Gaúchos
560,Aswan,EG,72.7,clear sky,24.0934,32.907,Yaseen hotel
564,Paka,MY,75.38,broken clouds,4.6374,103.4368,Paka Inn
572,Icod De Los Vinos,ES,72.21,broken clouds,28.3724,-16.7119,Hôtel San Augustin
575,Lekoni,GA,72.5,light rain,-1.5843,14.2591,Le rdv des chasseurs
593,Adeje,ES,70.11,clear sky,28.1227,-16.726,Royal Garden Villas
600,Kimbe,PG,76.44,light rain,-5.5502,150.1429,Kimbe Bay Hotel
604,Lahaina,US,78.94,overcast clouds,20.8783,-156.6825,Best Western Pioneer Inn
606,Trincomalee,LK,79.25,broken clouds,8.5711,81.2335,Silver Star Inn
611,Kaduqli,SD,78.24,overcast clouds,11.0167,29.7167,South Kordofan Hotel
612,Bom Jesus,BR,83.89,broken clouds,-9.0744,-44.3586,Hotel Brasão
618,Sabya,SA,82.02,clear sky,17.1495,42.6254,فندق ريانة صبيا
620,Rio Grande,BR,82.51,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
621,Bobo Dioulasso,BF,77.45,dust,11.1771,-4.2979,Teria
623,Itarema,BR,81.19,overcast clouds,-2.9248,-39.9167,Pousada Oásis
624,Potiskum,NG,71.42,overcast clouds,11.7091,11.0694,TAMIR HOTEL LIMITED
636,Basco,PH,80.91,broken clouds,20.4487,121.9702,Tawsen Hotel
640,Celestun,MX,85.68,few clouds,20.8667,-90.4,Hotel Flamingo Playa
644,Jinotega,NI,80.08,scattered clouds,13.0917,-86.0018,Hotel Central
653,Hong Gai,VN,78.71,scattered clouds,20.956,107.0946,Koc moc
663,Tougan,BF,78.6,overcast clouds,13.0667,-3.0667,Hotel ZEELA
664,Daru,PG,77.47,overcast clouds,-9.0763,143.2092,Kuki
665,Chake Chake,TZ,76.14,few clouds,-5.2459,39.7666,Annex Pemba Hotel
669,Conakry,GN,81.75,overcast clouds,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
673,Sao Gabriel Da Cachoeira,BR,89.4,few clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
677,Itaituba,BR,87.96,scattered clouds,-4.2761,-55.9836,TG Hotel
678,Pontianak,ID,73.38,scattered clouds,-0.0333,109.3333,Golden Tulip Hotel
679,Bintulu,MY,75.61,few clouds,3.1667,113.0333,Bakun Inn
